"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 01월 17일","329,000","329,000","329,000","329,000","-","0.00%"
"2021년 01월 15일","329,000","349,000","349,500","325,500","3.32M","-6.67%"
"2021년 01월 14일","352,500","366,500","373,500","351,000","1.19K","-7.60%"
"2021년 01월 13일","381,500","379,500","390,000","375,000","18.97K","-0.65%"
"2021년 01월 12일","384,000","381,000","386,500","370,000","5.37K","2.67%"
"2021년 01월 11일","374,000","376,500","386,500","367,000","0.08K","1.91%"
"2021년 01월 10일","367,000","367,000","367,000","367,000","-","0.00%"
"2021년 01월 08일","367,000","359,500","370,000","356,000","1.69M","2.66%"
"2021년 01월 07일","357,500","355,000","359,500","351,000","0.07K","1.13%"
"2021년 01월 06일","353,500","356,500","359,000","353,500","0.22K","-0.28%"
"2021년 01월 05일","354,500","351,500","356,000","345,000","0.03K","2.01%"
"2021년 01월 04일","347,500","359,000","359,000","343,500","7.29K","-3.20%"
